0;66;5;0,524835646;15,2505;;;;;;;;;;;
0;67;5;0,524835646;15,2534;;;;;;;;;;;
0;68;5;0,524835646;15,2559;;;;;;;;;;;
0;69;5;0,524835646;15,1627;;;;;;;;;;;
0;70;5;0,524835646;15,2636;;;;;;;;;;;
0;71;5;0,524835646;15,2758;;;;;;;;;;;
0;72;5;0,524835646;15,1825;;;;;;;;;;;
0;73;5;0,524835646;15,2239;;;;;;;;;;;
0;74;5;0,524835646;15,3111;;;;;;;;;;;
0;75;5;0,524835646;15,2461;;;;;;;;;;;
0;76;5;0,524835646;15,1493;;;;;;;;;;;
0;77;5;0,524835646;15,2717;;;;;;;;;;;
0;78;5;0,524835646;15,3397;;;;;;;;;;;
0;79;5;0,524835646;15,2531;;;;;;;;;;;
0;80;5;0,524835646;15,2461;;;;;;;;;;;
0;81;5;0,524835646;15,2317;;;;;;;;;;;
0;82;5;0,524835646;15,3475;;;;;;;;;;;
0;83;5;0,524835646;15,3102;;;;;;;;;;;
0;84;5;0,524835646;15,1885;;;;;;;;;;;
0;85;5;0,524835646;15,2087;;;;;;;;;;;
0;86;5;0,524835646;15,1948;;;;;;;;;;;
0;87;5;0,524835646;15,1864;;;;;;;;;;;
0;88;5;0,524835646;15,3436;;;;;;;;;;;
0;89;5;0,524835646;15,2959;;;;;;;;;;;
0;90;5;0,524835646;15,3945;;;;;;;;;;;
0;91;5;0,524835646;15,3820;;;;;;;;;;;
0;92;5;0,524835646;15,2707;;;;;;;;;;;
0;93;5;0,524835646;15,2194;;;;;;;;;;;
0;94;5;0,524835646;19,0729;;;;;;;;;;;
0;95;5;0,524835646;15,2082;;;;;;;;;;;
0;96;5;0,524835646;15,2416;;;;;;;;;;;
0;97;5;0,524835646;15,1863;;;;;;;;;;;
0;98;5;0,524835646;15,5165;;;;;;;;;;;
0;99;5;0,524835646;15,3050;;;;;;;;;;;
0;100;5;0,524835646;15,1363;;;;;;;;;;;
0;1;8;0,534726531;41,8468;;;;;;;;;;;
0;2;8;0,534726531;16,8247;;;;;;;;;;;
0;3;8;0,534726531;16,4666;;;;;;;;;;;
0;4;8;0,534726531;16,9025;;;;;;;;;;;
0;5;8;0,534726531;16,7637;;;;;;;;;;;
0;6;8;0,534726531;16,6990;;;;;;;;;;;
0;7;8;0,534726531;16,6783;;;;;;;;;;;
0;8;8;0,534726531;16,6866;;;;;;;;;;;
0;9;8;0,534726531;16,6724;;;;;;;;;;;
0;10;8;0,534726531;16,6617;;;;;;;;;;;
0;11;8;0,534726531;16,5089;;;;;;;;;;;
0;12;8;0,534726531;16,6701;;;;;;;;;;;
0;13;8;0,534726531;16,6910;;;;;;;;;;;
0;14;8;0,534726531;17,2032;;;;;;;;;;;
0;15;8;0,534726531;16,8943;;;;;;;;;;;
0;16;8;0,534726531;17,1626;;;;;;;;;;;
0;17;8;0,534726531;16,7894;;;;;;;;;;;
0;18;8;0,534726531;16,8545;;;;;;;;;;;
0;19;8;0,534726531;16,7242;;;;;;;;;;;
0;20;8;0,534726531;17,0423;;;;;;;;;;;
0;21;8;0,534726531;16,8017;;;;;;;;;;;
0;22;8;0,534726531;16,8298;;;;;;;;;;;
0;23;8;0,534726531;16,9990;;;;;;;;;;;
0;24;8;0,534726531;16,7865;;;;;;;;;;;
0;25;8;0,534726531;16,7789;;;;;;;;;;;
0;26;8;0,534726531;16,8792;;;;;;;;;;;
0;27;8;0,534726531;16,9172;;;;;;;;;;;
0;28;8;0,534726531;16,6427;;;;;;;;;;;
0;29;8;0,534726531;16,8700;;;;;;;;;;;
0;30;8;0,534726531;16,6484;;;;;;;;;;;
0;31;8;0,534726531;16,8118;;;;;;;;;;;
0;32;8;0,534726531;16,9125;;;;;;;;;;;
0;33;8;0,534726531;16,9737;;;;;;;;;;;
0;34;8;0,534726531;16,8467;;;;;;;;;;;
0;35;8;0,534726531;17,0954;;;;;;;;;;;
0;36;8;0,534726531;17,3915;;;;;;;;;;;
0;37;8;0,534726531;16,7081;;;;;;;;;;;
0;38;8;0,534726531;16,6958;;;;;;;;;;;
0;39;8;0,534726531;16,6219;;;;;;;;;;;
0;40;8;0,534726531;16,7665;;;;;;;;;;;
0;41;8;0,534726531;17,1487;;;;;;;;;;;
0;42;8;0,534726531;16,8443;;;;;;;;;;;
0;43;8;0,534726531;16,7863;;;;;;;;;;;
0;44;8;0,534726531;16,6882;;;;;;;;;;;
0;45;8;0,534726531;17,0281;;;;;;;;;;;
0;46;8;0,534726531;16,6560;;;;;;;;;;;
0;47;8;0,534726531;16,6378;;;;;;;;;;;
0;48;8;0,534726531;16,8254;;;;;;;;;;;
0;49;8;0,534726531;16,5825;;;;;;;;;;;
0;50;8;0,534726531;16,7838;;;;;;;;;;;
0;51;8;0,534726531;16,7048;;;;;;;;;;;
0;52;8;0,534726531;17,2147;;;;;;;;;;;
0;53;8;0,534726531;16,8041;;;;;;;;;;;
0;54;8;0,534726531;16,7918;;;;;;;;;;;
0;55;8;0,534726531;17,0315;;;;;;;;;;;
0;56;8;0,534726531;16,8872;;;;;;;;;;;
0;57;8;0,534726531;17,2235;;;;;;;;;;;
0;58;8;0,534726531;16,7356;;;;;;;;;;;
0;59;8;0,534726531;16,7472;;;;;;;;;;;
0;60;8;0,534726531;16,7015;;;;;;;;;;;
0;61;8;0,534726531;16,7534;;;;;;;;;;;
0;62;8;0,534726531;16,6021;;;;;;;;;;;
0;63;8;0,534726531;16,5721;;;;;;;;;;;
0;64;8;0,534726531;16,7208;;;;;;;;;;;
0;65;8;0,534726531;16,6062;;;;;;;;;;;
0;66;8;0,534726531;16,6226;;;;;;;;;;;
0;67;8;0,534726531;16,8009;;;;;;;;;;;
0;68;8;0,534726531;16,6087;;;;;;;;;;;
0;69;8;0,534726531;16,6998;;;;;;;;;;;
0;70;8;0,534726531;16,7845;;;;;;;;;;;
0;71;8;0,534726531;17,0175;;;;;;;;;;;
0;72;8;0,534726531;16,6659;;;;;;;;;;;
0;73;8;0,534726531;16,7452;;;;;;;;;;;
0;74;8;0,534726531;16,8389;;;;;;;;;;;
0;75;8;0,534726531;18,0510;;;;;;;;;;;
0;76;8;0,534726531;17,2150;;;;;;;;;;;
0;77;8;0,534726531;16,7288;;;;;;;;;;;
0;78;8;0,534726531;16,5819;;;;;;;;;;;
0;79;8;0,534726531;16,9037;;;;;;;;;;;
0;80;8;0,534726531;16,6665;;;;;;;;;;;
0;81;8;0,534726531;16,6915;;;;;;;;;;;
0;82;8;0,534726531;16,6418;;;;;;;;;;;
0;83;8;0,534726531;16,6267;;;;;;;;;;;
0;84;8;0,534726531;16,5270;;;;;;;;;;;
0;85;8;0,534726531;16,6136;;;;;;;;;;;
0;86;8;0,534726531;16,5641;;;;;;;;;;;
0;87;8;0,534726531;16,7180;;;;;;;;;;;
0;88;8;0,534726531;16,7861;;;;;;;;;;;
0;89;8;0,534726531;16,7267;;;;;;;;;;;
0;90;8;0,534726531;16,7079;;;;;;;;;;;
0;91;8;0,534726531;16,7282;;;;;;;;;;;
0;92;8;0,534726531;16,7038;;;;;;;;;;;
0;93;8;0,534726531;16,6342;;;;;;;;;;;
0;94;8;0,534726531;16,5080;;;;;;;;;;;
0;95;8;0,534726531;17,2370;;;;;;;;;;;
0;96;8;0,534726531;16,6650;;;;;;;;;;;
0;97;8;0,534726531;16,7002;;;;;;;;;;;
0;98;8;0,534726531;16,5772;;;;;;;;;;;
0;99;8;0,534726531;16,6085;;;;;;;;;;;
0;100;8;0,534726531;16,7151;;;;;;;;;;;
0;1;3;0,49866649;37,5579;;;;;;;;;;;
0;2;2;0;20,9997;;;;;;;;;;;
0;3;1;0;19,7677;;;;;;;;;;;
0;4;3;0,042317031;22,8196;;;;;;;;;;;
0;5;5;0,462862275;39,3795;;;;;;;;;;;
0;6;2;0;22,9455;;;;;;;;;;;
0;7;1;0;22,2319;;;;;;;;;;;
0;8;1;0;19,8538;;;;;;;;;;;
0;9;2;0,003683229;24,9830;;;;;;;;;;;
0;10;1;0;27,9770;;;;;;;;;;;
0;11;2;0,010928632;33,1130;;;;;;;;;;;
0;12;4;0,281217181;21,7335;;;;;;;;;;;
0;13;4;0,281217181;18,5953;;;;;;;;;;;
0;14;4;0,281217181;23,9939;;;;;;;;;;;
0;15;4;0,281217181;19,7974;;;;;;;;;;;
0;16;4;0,281217181;19,0483;;;;;;;;;;;
0;17;4;0,281217181;19,0975;;;;;;;;;;;
0;18;4;0,281217181;19,5017;;;;;;;;;;;
0;19;4;0,281217181;18,0883;;;;;;;;;;;
0;20;4;0,281217181;19,8292;;;;;;;;;;;
0;21;4;0,281217181;18,5053;;;;;;;;;;;
