0;40;6;0,690615368;5,7891;;;;;;;;;;;
0;41;6;0,690615368;6,2913;;;;;;;;;;;
0;42;6;0,690615368;6,0131;;;;;;;;;;;
0;43;6;0,690615368;6,0621;;;;;;;;;;;
0;44;6;0,690615368;6,6086;;;;;;;;;;;
0;45;6;0,690615368;5,8826;;;;;;;;;;;
0;46;6;0,690615368;6,8166;;;;;;;;;;;
0;47;6;0,690615368;6,4838;;;;;;;;;;;
0;48;6;0,690615368;6,1452;;;;;;;;;;;
0;49;6;0,690615368;6,2682;;;;;;;;;;;
0;50;6;0,690615368;5,8165;;;;;;;;;;;
0;51;6;0,690615368;6,7353;;;;;;;;;;;
0;52;6;0,690615368;6,3332;;;;;;;;;;;
0;53;6;0,690615368;6,1878;;;;;;;;;;;
0;54;6;0,690615368;6,9328;;;;;;;;;;;
0;55;6;0,690615368;7,4645;;;;;;;;;;;
0;56;6;0,690615368;9,8374;;;;;;;;;;;
0;57;6;0,690615368;6,1898;;;;;;;;;;;
0;58;6;0,690615368;6,6612;;;;;;;;;;;
0;59;6;0,690615368;5,8872;;;;;;;;;;;
0;60;6;0,690615368;7,0125;;;;;;;;;;;
0;61;6;0,690615368;5,9792;;;;;;;;;;;
0;62;6;0,690615368;6,8909;;;;;;;;;;;
0;63;6;0,690615368;6,3441;;;;;;;;;;;
0;64;6;0,690615368;5,9064;;;;;;;;;;;
0;65;6;0,690615368;6,4367;;;;;;;;;;;
0;66;6;0,690615368;6,5779;;;;;;;;;;;
0;67;6;0,690615368;5,8786;;;;;;;;;;;
0;68;6;0,690615368;6,7830;;;;;;;;;;;
0;69;6;0,690615368;7,6528;;;;;;;;;;;
0;70;6;0,690615368;7,7632;;;;;;;;;;;
0;71;6;0,690615368;7,3670;;;;;;;;;;;
0;72;6;0,690615368;7,0335;;;;;;;;;;;
0;73;6;0,690615368;5,8895;;;;;;;;;;;
0;74;6;0,690615368;6,6276;;;;;;;;;;;
0;75;6;0,690615368;7,2207;;;;;;;;;;;
0;76;6;0,690615368;6,0582;;;;;;;;;;;
0;77;6;0,690615368;11,0208;;;;;;;;;;;
0;78;6;0,690615368;10,0468;;;;;;;;;;;
0;79;6;0,690615368;5,1172;;;;;;;;;;;
0;80;6;0,690615368;4,8491;;;;;;;;;;;
0;81;6;0,690615368;5,3243;;;;;;;;;;;
0;82;6;0,690615368;11,2475;;;;;;;;;;;
0;83;6;0,690615368;9,7966;;;;;;;;;;;
0;84;6;0,690615368;7,8187;;;;;;;;;;;
0;85;6;0,690615368;7,0408;;;;;;;;;;;
0;86;6;0,690615368;6,7520;;;;;;;;;;;
0;87;6;0,690615368;6,5158;;;;;;;;;;;
0;88;6;0,690615368;7,3049;;;;;;;;;;;
0;89;6;0,690615368;6,3302;;;;;;;;;;;
0;90;6;0,690615368;6,2821;;;;;;;;;;;
